State,Facility,Number,Level 1,Level 2,Level 3,Not Convicted
Arkansas,BENTOAR - BENTON COUNTY DETENTION CENTER,335,8%,3%,23%,65%
Arkansas,BOONEAR - BOONE COUNTY JAIL,14,0%,0%,21%,79%
Arkansas,BOPFOM - FCI FORREST CITY MED.,98,36%,7%,47%,10%
Arkansas,BOPFOR - FOREST CITY FED.CORR.INST,37,32%,3%,54%,11%
Arkansas,CALHOAR - CALHOUN COUNTY JAIL,1,0%,0%,100%,0%
Arkansas,CARROAR - CARROLL CO SHERIFF'S OFFICE,77,3%,0%,12%,86%
Arkansas,CHICOAR - CHICOT COUNTY JAIL,4,0%,0%,0%,100%
Arkansas,CLARKAR - CLARK COUNTY DETENTION,12,0%,0%,17%,83%
Arkansas,CLAYCAR - CLAY COUNTY JAIL,6,0%,0%,17%,83%
Arkansas,CLEBUAR - CLEBURNE COUNTY JAIL,18,0%,0%,22%,78%
Arkansas,CLEVEAR - CLEVELAND COUNTY JAIL,6,0%,0%,17%,83%
Arkansas,COLUMAR - COLUMBIA COUNTY JAIL,2,0%,0%,50%,50%
Arkansas,CONWAAR - CONWAY COUNTY JAIL,6,0%,0%,33%,67%
Arkansas,CRAIGAR - CRAIGHEAD COUNTY JAIL,137,1%,1%,23%,76%
Arkansas,CRAWFAR - CRAWFORD COUNTY JAIL,52,2%,2%,15%,81%
Arkansas,CRITTAR - CRITTENDEN COUNTY DET CTR,23,0%,4%,39%,57%
Arkansas,DALLAAR - DALLAS COUNT JAIL,13,0%,0%,23%,77%
Arkansas,DREWAR - DREW COUNTY JAIL,5,20%,0%,20%,60%
Arkansas,DUMASAR - DUMAS POLICE DEPT/JAIL,1,100%,0%,0%,0%
Arkansas,FAULKAR - FAULKNER COUNTY JAIL,51,0%,6%,16%,78%
Arkansas,FRANKAR - FRANKLIN COUNTY JAIL,14,0%,0%,14%,86%
Arkansas,FSAHOLD - FORT SMITH HOLDROOM,2,0%,0%,0%,100%
Arkansas,FULTOAR - FULTON COUNTY JAIL,15,7%,7%,27%,60%
Arkansas,GARLAAR - GARLAND COUNTY SHERIFF'S DEPT,40,0%,5%,25%,70%
Arkansas,GRANTAR - GRANT COUNTY JAIL,3,33%,0%,0%,67%
Arkansas,GREENAR - GREENE COUNTY JAIL,1,0%,0%,0%,100%
Arkansas,HEMPSAR - HEMPSTEAD COUNTY JAIL,76,3%,0%,12%,86%
Arkansas,HOTSPAR - HOT SPRING COUNTY JAIL,10,0%,0%,20%,80%
Arkansas,HOWARAR - HOWARD COUNTY JAIL,34,6%,9%,24%,62%
Arkansas,INDPDAR - INDEPENDENCE COUNTY JAIL,22,5%,0%,18%,77%
Arkansas,JACKSAR - JACKSON COUNTY JAIL,6,0%,17%,17%,67%
Arkansas,JEFCOAR - JEFFERSON COUNTY JAIL .,14,0%,7%,7%,86%
Arkansas,JOHNSAR - JOHNSON COUNTY JAIL,58,2%,3%,31%,64%
Arkansas,LAFAYAR - LAFAYETTE COUNTY JAIL,1,100%,0%,0%,0%
Arkansas,LAWREAR - LAWRENCE COUNTY JAIL,4,0%,0%,0%,100%
Arkansas,LEECOAR - LEE COUNTY JAIL,3,0%,0%,67%,33%
Arkansas,LINCOAR - LINCOLN COUNTY JAIL,1,0%,0%,0%,100%
Arkansas,LOGANAR - LOGAN COUNTY JAIL,10,0%,0%,10%,90%
Arkansas,LONOKAR - LONOKE COUNTY DET. CENTER,18,0%,0%,0%,100%
Arkansas,LRAHOLD - LITTLE ROCK HOLD ROOM,4,0%,0%,0%,100%
Arkansas,MADISAR - MADISON COUNTY JAIL,4,0%,0%,75%,25%
Arkansas,MARIOAR - MARION COUNTY JAIL,3,0%,0%,33%,67%
Arkansas,MILLRAR - MILLER COUNTY JAIL,8,0%,0%,25%,75%
Arkansas,MISSIAR - MISSISSIPPI COUNTY JAIL,20,0%,0%,5%,95%
Arkansas,MONROAR - MONROE COUNTY JAIL,1,0%,0%,0%,100%
Arkansas,MONTGAR - MONTGOMERY COUNTY JAIL,1,0%,0%,100%,0%
Arkansas,NEVADAR - NEVADA COUNTY JAIL,7,0%,0%,29%,71%
Arkansas,NVSPCAR - NEVADA STATE PRISON,27,30%,4%,19%,48%
Arkansas,OUACHAR - OUACHITA COUNTY JAIL,5,0%,0%,0%,100%
Arkansas,PERRYAR - PERRY COUNTY JAIL,6,0%,0%,33%,67%
Arkansas,PIKECAR - PIKE COUNTY JAIL,17,0%,0%,6%,94%
Arkansas,POINSAT - POINSETT COUNTY JAIL,2,0%,0%,50%,50%
Arkansas,POLKCAR - POLK COUNTY JAIL,8,0%,0%,50%,50%
Arkansas,POPECAR - POPE COUNTY JAIL,61,2%,0%,18%,80%
Arkansas,PRAIRAR - PRAIRIE COUNTY JAIL,1,0%,0%,100%,0%
Arkansas,PULASAR - PULASKI COUNTY REG.DET.FAC.,214,6%,3%,30%,61%
Arkansas,RANDOAR - RANDOLPH COUNTY JAIL,2,0%,0%,50%,50%
Arkansas,SALINAR - SALINE COUNTY JAIL,231,1%,0%,15%,84%
Arkansas,SCOTTAR - SCOTT COUNTY JAIL,26,8%,0%,8%,85%
Arkansas,SEARCAR - SEARCY COUNTY JAIL,2,0%,0%,0%,100%
Arkansas,SEBASAR - SEBASTIAN COUNTY DET CNT,155,2%,3%,25%,70%
Arkansas,SEVIEAR - SEVIER COUNTY JAIL,122,3%,1%,11%,85%
Arkansas,SHARPAR - SHARP COUNTY JAIL,4,0%,0%,0%,100%
Arkansas,SPRNGAR - SPRINGDALE CITY JAIL,192,3%,2%,48%,47%
Arkansas,STONEAR - STONE COUNTY JAIL,7,0%,29%,29%,43%
Arkansas,"TEXARAR - TEXARKANA, AR POLICE DEPT.",1,0%,0%,0%,100%
Arkansas,UNIONAR - UNION COUNTY JAIL,41,2%,0%,2%,95%
Arkansas,"USMEDAR - US MARSHALS, E. DIST. AR",79,20%,5%,23%,52%
Arkansas,"USMWDAR - US MARSHAL'S, W. DIST. AR",83,28%,4%,24%,45%
Arkansas,WASHIAR - WASHINGTON COUNTY JAIL,182,4%,6%,26%,63%
Arkansas,WHITEAR - WHITE COUNTY JAIL,33,6%,3%,36%,55%
California,ADLNTCA - ADELANTO CORRECTIONAL FACILITY,36,25%,11%,36%,28%
California,ALHAMCA - ALHAMBRA CITY JAIL,31,6%,10%,16%,68%
California,AMADOCA - AMADOR COUNTY JAIL,38,11%,13%,21%,55%
California,ANAHMCA - ANAHEIM CITY JAIL,528,8%,7%,39%,46%
California,AZUSACA - AZUSA POLICE DEPT.,31,6%,3%,19%,71%
California,BAILECA - GEORGE BAILEY DETENT FACI,17,18%,0%,35%,47%
California,BGRDNCA - BELL GARDENS POLICE DEPT.,30,17%,13%,20%,50%
California,BKLHOLD - BAKERFIELD HOLD,46,2%,2%,9%,87%
California,BLDWNCA - BALDWIN PARK POLICE DEPT.,57,5%,5%,21%,68%
California,BLLPDCA - BELL POLICE DEPT.,43,12%,2%,30%,56%
California,BNAPKCA - BUENA PARK POLICE DEPT.,55,9%,2%,25%,64%
California,BOPATW - U.S.P. ATWATER,224,37%,8%,34%,22%
California,BOPDUB - DUBLIN FED.CORR.INST.,400,48%,5%,28%,20%
California,BOPHER - F.C.I. HERLONG,421,37%,7%,35%,21%
California,BOPLOF - LOMPOC FCI,232,53%,4%,31%,12%
California,BOPLOM - LOMPOC USP,746,34%,11%,35%,20%
California,BOPLOS - LOS ANGELES MET.DET.CTR.,149,13%,2%,11%,74%
California,BOPSDC - SAN DIEGO MCC,189,7%,4%,12%,76%
California,BOPTAF - TAFT FED.CORR.INST.,"2,403",35%,6%,36%,23%
California,BOPTRM - TERMINAL ISLAND FCI,4,0%,0%,0%,100%
California,BOPVIM - FCI VICTORVILLE,445,30%,10%,34%,26%
California,BRBNKCA - BURBANK POLICE DEPT.,52,4%,8%,25%,63%
California,BREPDCA - BREA POLICE DEPT.,4,0%,0%,0%,100%
California,BUTTECA - BUTTE COUNTY JAIL,126,17%,6%,34%,43%
California,BVHLSCA - BEVERLY HILLS JAIL,7,14%,14%,0%,71%
California,BVRLYCA - BEVERLY HILLS POLICE DEPT.,18,17%,17%,6%,61%
California,CACCCLA - CLAREMONT CUSTODY CENTER,4,25%,0%,50%,25%
California,CACCJAM - SCC/JAMESTOWN,72,40%,3%,25%,32%
California,CACCSUS - CCC/SUSANVILLE,122,34%,3%,16%,46%
California,CACENCW - CENTRAL CA WOMEN'S FACILI,238,56%,8%,16%,20%
California,CACFDEL - CCF-DELANO,621,6%,1%,4%,89%
California,CACFDON - RJ DONOVAN CORREC FAC,167,51%,2%,10%,37%
California,CACFLAS - CCF-LASSEN,16,13%,13%,25%,50%
California,CACFMCF - MCFARLAND CCF,82,79%,6%,9%,6%
